
Date,Value
2020-01-01,100
2020-02-01,110
2020-03-01,105
2020-04-01,120
2020-05-01,130
2020-06-01,125
2020-07-01,140
2020-08-01,150
2020-09-01,145
2020-10-01,160
2020-11-01,170
2020-12-01,165
2021-01-01,180
2021-02-01,190
2021-03-01,185
2021-04-01,200
2021-05-01,210
2021-06-01,205
2021-07-01,220
2021-08-01,230
2021-09-01,225
2021-10-01,240
2021-11-01,250
2021-12-01,245
2022-01-01,260
2022-02-01,270
2022-03-01,265
2022-04-01,280
2022-05-01,290
2022-06-01,285
2022-07-01,300
2022-08-01,310
2022-09-01,305
2022-10-01,320
2022-11-01,330
2022-12-01,325
